City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
309,Kyra,RU,49.5776,111.9753,27.64,64,100,3.85,overcast clouds
310,Korla,CN,41.7597,86.1469,51.22,23,83,9.22,broken clouds
311,Tessalit,ML,20.1986,1.0114,82.51,8,15,5.44,few clouds
312,Orlik,RU,52.5178,99.825,14.97,91,100,1.81,overcast clouds
313,Laje,BR,-10.1833,-40.9667,78.01,59,46,9.15,scattered clouds
314,Broome,US,42.2506,-75.833,48.2,29,1,11.5,clear sky
315,Beloha,MG,-25.1667,45.05,67.87,87,0,4.14,clear sky
316,Ancud,CL,-41.8697,-73.8203,62.01,63,90,13.8,moderate rain
317,Boende,CD,-0.2167,20.8667,72.77,93,73,3.65,light rain
318,Isangel,VU,-19.55,169.2667,78.8,78,20,5.75,few clouds
319,Nyrob,RU,60.733,56.7202,13.23,99,94,2.57,overcast clouds
320,Springbok,ZA,-29.6643,17.8865,59.94,67,1,2.71,clear sky
321,Corner Brook,CA,48.9667,-57.9484,51.8,93,90,10.36,overcast clouds
322,Mmabatho,ZA,-25.85,25.6333,60.8,72,16,3.44,few clouds
323,Erdenet,MN,49.0333,104.0833,30.92,61,50,1.99,scattered clouds
324,Porto Belo,BR,-27.1578,-48.5531,73.4,88,20,4.61,few clouds
325,Nizhnyaya Tavda,RU,57.6731,66.1725,33.8,86,100,15.57,overcast clouds
326,Maneromango,TZ,-7.1988,38.7848,69.39,98,100,3.06,light rain
327,Grindavik,IS,63.8424,-22.4338,26.6,86,75,13.8,broken clouds
328,Grand Gaube,MU,-20.0064,57.6608,78.01,79,56,1.99,broken clouds
329,Kawalu,ID,-7.3817,108.2082,71.98,93,100,1.95,overcast clouds
330,Yeppoon,AU,-23.1333,150.7333,75.2,88,90,4.61,overcast clouds
331,Ribnitz-Damgarten,DE,54.25,12.4667,37.0,69,75,17.27,broken clouds
332,Severnyy,RU,50.677,36.5532,37.4,87,0,11.18,clear sky
333,Nikel,RU,69.4128,30.222,35.6,87,40,14.97,scattered clouds
334,Severo-Kurilsk,RU,50.6789,156.125,29.97,87,92,15.86,overcast clouds
335,Alexandria,EG,31.2156,29.9553,62.6,63,0,4.61,clear sky
336,Morehead,US,37.2711,-87.1764,75.2,25,1,4.61,clear sky
337,Quatre Cocos,MU,-20.2078,57.7625,78.8,78,40,6.91,scattered clouds
338,Qianan,CN,44.9932,124.0581,43.38,26,1,10.87,clear sky
339,Lavrentiya,RU,65.5833,-171.0,2.35,88,100,5.21,overcast clouds
340,Galle,LK,6.0367,80.217,78.37,86,70,2.98,broken clouds
